Dataset,min_samples,metric,algorithm,max_epsilon,Dataset scaling,Silhouette Score,Davies-Bouldin Index,Calinski-Harabasz Score,Adjusted Rand Index,Purity,Fowlkes-Mallows Index,Normalized Mutual Info,Number of Clusters
cmc,55,manhattan,brute,1.5,MinMax,0.6608955693997164,0.6258179759046274,452.2232127138399,-0.004708301260148041,0.41232227488151657,0.4177740527550738,0.0028488894379736715,2
cmc,55,cosine,auto,1.5,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,cosine,brute,1.5,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,euclidean,auto,3.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,euclidean,brute,3.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,auto,3.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,brute,3.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,cosine,auto,3.0,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,cosine,brute,3.0,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,euclidean,auto,5.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,euclidean,brute,5.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,auto,5.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,brute,5.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,cosine,auto,5.0,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,cosine,brute,5.0,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,euclidean,auto,7.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,euclidean,brute,7.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,auto,7.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,brute,7.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,cosine,auto,7.0,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,cosine,brute,7.0,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,euclidean,auto,9.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,euclidean,brute,9.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,auto,9.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,manhattan,brute,9.0,MinMax,0.6160710607556787,0.654869416109867,382.7915178273849,4.8727637209587785e-05,0.40217391304347827,0.3483603638617448,0.008153900245508737,3
cmc,55,cosine,auto,9.0,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,55,cosine,brute,9.0,MinMax,0.6263686546036844,0.6269521281591824,394.71681781542156,5.994025659884374e-05,0.40370370370370373,0.3517230821526769,0.009067970353813497,3
cmc,57,euclidean,auto,1.5,MinMax,0.6555485562689468,0.6283892396356469,451.28729052797877,-0.004731419528352951,0.4046511627906977,0.4142515116607525,0.0009526392563605937,2
cmc,57,euclidean,brute,1.5,MinMax,0.6555485562689468,0.6283892396356469,451.28729052797877,-0.004731419528352951,0.4046511627906977,0.4142515116607525,0.0009526392563605937,2
cmc,57,manhattan,auto,1.5,MinMax,0.6608955693997164,0.6258179759046274,452.2232127138399,-0.004708301260148041,0.41232227488151657,0.4177740527550738,0.0028488894379736715,2
cmc,57,manhattan,brute,1.5,MinMax,0.6608955693997164,0.6258179759046274,452.2232127138399,-0.004708301260148041,0.41232227488151657,0.4177740527550738,0.0028488894379736715,2
